Event Name,Club Email,Club Name,Categories,Event Description,Begins,Ends,Location,Image,RSVP,Attendance
Practice,rutgerssailing@gmail.com ,Sailing Sport Club (Rutgers Recreation),"Athletics,Outdoor Event,Sports/Recreation/Intramural",MUST complete Swim Test and register on DSE before attending. Please wear weather-appropriate clothing. DM us for the Discord link (or GroupMe if necessary). Check the Discord/GroupMe for carpooling information. Optional team dinner on College Ave afterwards.,"      From Friday, April 29, 2022 4:30 PM",      to 7:30 PM EDT,Class of 1914 Boathouse,,https://rutgers.campuslabs.com/engage/event/8064415,0
OLAR: Série de Culturas Lusófonas: Noite de Capoeira,olar.general@gmail.com ,Organization of Luso-Americans at Rutgers,Cultural,"Join OLAR for a capoeira workshop with Mestre Cebolinha and his students. Learn more about the Brazilian martial art that combines elements of dance, acrobatics, music and try out some beginner moves! Gifts for attendees! <a href=""https://docs.google.com/forms/d/e/1FAIpQLScnoJCY2PREjmFr8DIqBPguZb2vm4zWUDanp01k-kjjqOP5HQ/viewform"">RSVP</a> by 4/25.&nbsp;","      From Friday, April 29, 2022 6:00 PM",      to 7:30 PM EDT,College Avenue Gym Studio,https://se-images.campuslabs.com/clink/images/74fd8f84-dcce-4ebb-af87-64521579dd8ea0bcd477-ec59-4b4f-95ea-d8f3ea730f86.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8078195,0
House 33 Finals Study Session ,,undefine,ThoughtfulLearning,Studying with residents of House 33 to prepare for spring finals season!&nbsp;,"      From Friday, April 29, 2022 5:00 PM",      to 8:00 PM EDT,Livingston Student Center ,https://se-images.campuslabs.com/clink/images/c38a70bf-0c42-4dd7-a177-179638f550230c4509ba-7bcc-426d-8ca3-73ccc49227b4.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8079639,0
Rutgers Geek Organizations Present: Nerd Night,rutgersboardgames@gmail.com ,Unplugged - The Board Gaming Club,Social,"Come join Unplugged, Chess Club, D&amp;D Club, Go Club, and Yu-Gi-Oh Club in the Busch Student Center (Room 120ABC &amp; Room 117 by the Quiet Lounge) from 7:15PM to 11:30 PM for a super laid-back night&nbsp;of board games, card games, and tabletop games! Bring your own games or enjoy some of ours. Feel free to stop in at any time during the night and for however long. We will be providing free food!","      From Friday, April 29, 2022 7:15 PM",      to 11:30 PM EDT,Busch Student Center (Room 120ABC & Room 117),https://se-images.campuslabs.com/clink/images/3b32dd37-3377-4735-b620-51ccfe52f1f571adb96d-5f0e-4996-b035-6a0e17e1376c.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8081895,0
Spring 4 North Game Night,,undefine,"Cultural,Community (Residence Life)","Open to ALL Black HC students, join the Honors College Black Affinity Group for a night of food and fun!","      From Friday, April 29, 2022 9:00 PM","      to Saturday, April 30, 2022 12:00 AM EDT",Honors College 4 North Lounge,https://se-images.campuslabs.com/clink/images/e8cfdf3f-e2e0-407f-a121-41fb7f95e74018927e08-7156-4164-8685-bc5a3c43e682.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8062255,0
Late Knight: Flower Power,sca@echo.rutgers.edu ,Student Centers and Activities (Department of),"Social,Entertainment,Special Interest","Join us for a trip back to the 1970s! We will have a retro-style photo booth, tie-dye t-shirt station, bracelet-making, and you can make your own reed diffuser. A food bar with burgers, hot dogs, and veggies will also be provided. As always, Late Knight is free!","      From Friday, April 29, 2022 9:00 PM","      to Saturday, April 30, 2022 12:00 AM EDT",Livingston Student Center,https://se-images.campuslabs.com/clink/images/7788349f-88e6-488c-b4ba-66e7aaddf7430c4d9c35-40ab-4008-9e25-2f642aad0ad9.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8070073,0
Meet the Greeks,,undefine,"Cultural,Cultural Performance","The Multicultural Greek Council, in conjunction with Rutgers Day, invites you to Meet the Greeks on Saturday, April 30&nbsp; at 10:00 am on Voorhees Mall to watch outstanding stepping, strolling, and saluting performances while learning about the fraternities and sororities in the MGC here at Rutgers University - New Brunswick. If you are interested in joining one of our multicultural organizations in the fall this is an excellent way to see all the MGC has to offer! We look forward to seeing you!","      From Saturday, April 30, 2022 10:00 AM",      to 1:00 PM EDT,Voorhees Mall,https://se-images.campuslabs.com/clink/images/4dd09a03-7ef7-498e-ae4e-b90f302308d92d02e0de-1d31-4833-be52-0aad8874e343.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8080499,0
Volunteer with OGSA for Rutgers Day,,undefine,CommunityService,"OGSA will be running several community engagement stations at Rutgers Day, which provide interactive opportunities for the public to learn about the multidisciplinary and wide-reaching research that we conduct within out department. Please sign up to volunteer with this event cjohns@marine.rutgers.edu.","      From Saturday, April 30, 2022 8:00 AM",      to 1:00 PM EDT,DMCS Building,,https://rutgers.campuslabs.com/engage/event/8084635,0
Plant Crafts at Rutgers Day,,undefine,"Social,Outdoor Event",Come to the LAGSA table at Rutgers Day to learn about native plants and make crafts with plants!&nbsp;,"      From Saturday, April 30, 2022 9:00 AM",      to 4:00 PM EDT,Blake Hall,,https://rutgers.campuslabs.com/engage/event/8006903,0
NutriSci GSO Rutgers Day Tabling,,undefine,Social,"This event will be a table at Rutgers Day, Saturday 4/30 from 10am-4pm. The Nutritional Sciences Graduate Student Organization will be there to demonstrate the different research interests in Nutrition and do fun activities with the public. Please RSVP if you would like to participate in tabling for the NutriSci GSO at Rutgers Day.","      From Saturday, April 30, 2022 10:00 AM",      to 4:00 PM EDT,Table 418 on Red Oak Lane behind Floriculture Greenhouse,https://se-images.campuslabs.com/clink/images/d616aa78-e5ec-40cb-aeb6-9970d712518f730b3da0-04ec-41af-9621-607e1508ffd5.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8086854,0
